transaction_id,product_type,applicant_id,beneficiary_id,applicant_country,beneficiary_country,currency,amount,issue_date,expiry_date,status,goods_category,amendment_count,document_count,processing_days,discrepancy_flag,delay_flag,counterparty_relationship_years,customer_risk_rating,anomaly_score,anomaly_class,discrepancy_probability,delay_probability,predicted_processing_days,overall_risk_score,overall_risk_level
TF-2026-0000022,IMPORT_LC,CUST-00988,CP-02715,CA,FR,CNY,244749.84,2025-02-05,2025-04-09,CLOSED,ELECTRONICS,5,4,8,1,0,15,LOW,0.565058,NORMAL,0.608797,0.534015,11.39,58.72,MEDIUM
TF-2026-0000023,COLLECTION,CUST-00186,CP-03259,CA,MX,JPY,300133.74,2024-09-03,2025-02-02,CLOSED,CHEMICALS,4,4,10,0,0,5,HIGH,0.497862,NORMAL,0.567621,0.478015,11.5,50.32,MEDIUM
TF-2026-0000024,IMPORT_LC,CUST-00229,CP-00366,CA,MX,EUR,728331.25,2025-08-29,2026-01-30,CLOSED,INDUSTRIAL_EQUIPMENT,1,8,5,0,0,0,LOW,0.532587,NORMAL,0.227618,0.32597,7.71,34.03,LOW
TF-2026-0000025,EXPORT_LC,CUST-00219,CP-01620,CA,BR,USD,502765.11,2026-08-03,2027-01-05,ACTIVE,AUTO_PARTS,2,6,5,0,0,1,MEDIUM,0.486348,NORMAL,0.2637,0.321358,7.81,27.9,LOW
TF-2026-0000026,EXPORT_LC,CUST-01014,CP-01194,CA,SG,CNY,855540.07,2024-08-21,2025-02-15,ACTIVE,ELECTRONICS,1,6,8,0,0,8,HIGH,0.479411,NORMAL,0.150923,0.389261,7.76,30.48,LOW
TF-2026-0000027,GUARANTEE,CUST-00802,CP-01602,CA,MX,CNY,474471.52,2026-05-31,2026-11-15,ACTIVE,AUTO_PARTS,1,9,11,0,1,6,HIGH,0.48611,NORMAL,0.152872,0.430015,10.11,33.34,LOW
TF-2026-0000028,IMPORT_LC,CUST-00742,CP-02974,CA,DE,GBP,1246196.17,2024-12-31,2025-04-15,ACTIVE,CHEMICALS,5,5,16,0,1,8,LOW,0.507523,NORMAL,0.448363,0.725751,15.39,47.94,MEDIUM
TF-2026-0000029,IMPORT_LC,CUST-00244,CP-00987,CA,US,USD,414295.99,2025-07-02,2025-12-08,ACTIVE,CHEMICALS,5,9,16,0,1,14,LOW,0.546947,NORMAL,0.396767,0.813703,15.36,59.34,MEDIUM
TF-2026-0000030,IMPORT_LC,CUST-01174,CP-02346,CA,BR,JPY,89263.75,2025-04-08,2025-09-04,CLOSED,CHEMICALS,1,9,1,0,0,10,MEDIUM,0.531074,NORMAL,0.115754,0.166429,4.48,29.77,LOW
TF-2026-0000031,COLLECTION,CUST-00131,CP-02126,CA,GB,CNY,651854.0,2024-12-22,2025-05-19,CLOSED,ELECTRONICS,0,6,15,0,1,13,LOW,0.510454,NORMAL,0.201056,0.425399,10.78,30.82,LOW
TF-2026-0000032,EXPORT_LC,CUST-00180,CP-02304,CA,GB,EUR,2547236.61,2025-11-23,2026-01-22,CLOSED,ELECTRONICS,4,5,11,0,1,13,LOW,0.548452,NORMAL,0.367645,0.665924,12.36,53.55,MEDIUM
TF-2026-0000033,GUARANTEE,CUST-01103,CP-02092,CA,AE,CAD,1206662.69,2026-01-10,2026-05-27,ACTIVE,TEXTILES,1,3,9,0,0,1,MEDIUM,0.566596,NORMAL,0.204224,0.222442,9.17,40.89,MEDIUM
TF-2026-0000034,COLLECTION,CUST-00153,CP-02253,CA,MX,USD,129198.3,2025-11-24,2026-04-19,SETTLED,CHEMICALS,3,10,14,1,1,2,HIGH,0.541159,NORMAL,0.642555,0.701585,13.2,71.64,HIGH
TF-2026-0000035,COLLECTION,CUST-00777,CP-00107,CA,CN,JPY,237241.42,2024-12-02,2025-05-10,SETTLED,AGRICULTURE,0,9,12,0,1,3,HIGH,0.526574,NORMAL,0.125514,0.444299,8.91,43.61,MEDIUM
TF-2026-0000036,GUARANTEE,CUST-01003,CP-00392,CA,BR,EUR,234178.34,2025-02-17,2025-05-09,ACTIVE,AGRICULTURE,4,7,15,0,1,10,LOW,0.484846,NORMAL,0.548457,0.75314,13.85,46.26,MEDIUM
TF-2026-0000037,GUARANTEE,CUST-00020,CP-02813,CA,AE,USD,1358109.54,2025-03-05,2025-08-11,CLOSED,ELECTRONICS,3,7,17,0,1,14,MEDIUM,0.520192,NORMAL,0.344287,0.704497,14.11,52.52,MEDIUM
TF-2026-0000038,COLLECTION,CUST-01067,CP-02943,CA,MX,EUR,37426.02,2025-12-21,2026-03-01,CLOSED,INDUSTRIAL_EQUIPMENT,3,8,13,0,1,13,HIGH,0.576956,NORMAL,0.380275,0.71951,12.92,69.57,HIGH
TF-2026-0000039,EXPORT_LC,CUST-00983,CP-02040,CA,CN,JPY,1241294.08,2025-03-03,2025-05-02,CLOSED,AUTO_PARTS,5,4,9,0,0,4,HIGH,0.525956,NORMAL,0.456815,0.527096,11.11,56.27,MEDIUM
TF-2026-0000040,COLLECTION,CUST-00346,CP-02763,CA,US,EUR,1068167.34,2025-02-22,2025-06-25,SETTLED,CHEMICALS,1,8,11,0,1,2,MEDIUM,0.508334,NORMAL,0.173481,0.51469,10.44,37.51,LOW
TF-2026-0000041,GUARANTEE,CUST-00437,CP-00010,CA,SG,EUR,518380.99,2024-11-04,2025-02-17,ACTIVE,INDUSTRIAL_EQUIPMENT,5,3,22,0,1,13,HIGH,0.551452,NORMAL,0.443766,0.726199,14.06,68.56,HIGH
TF-2026-0000042,GUARANTEE,CUST-00382,CP-01647,CA,MX,USD,93501.04,2025-08-14,2025-10-13,SETTLED,ELECTRONICS,0,5,3,0,0,7,MEDIUM,0.54734,NORMAL,0.336768,0.190851,5.93,40.82,MEDIUM
TF-2026-0000043,EXPORT_LC,CUST-01099,CP-03325,CA,MX,GBP,126061.34,2025-11-10,2026-02-03,CLOSED,INDUSTRIAL_EQUIPMENT,1,5,5,0,0,3,MEDIUM,0.515944,NORMAL,0.23494,0.278889,9.12,33.28,LOW
TF-2026-0000044,COLLECTION,CUST-00545,CP-00487,CA,FR,CNY,425475.12,2025-06-07,2025-10-09,SETTLED,AUTO_PARTS,5,5,17,1,1,12,MEDIUM,0.507878,NORMAL,0.450288,0.745001,14.85,53.75,MEDIUM
TF-2026-0000045,EXPORT_LC,CUST-00107,CP-02779,CA,BR,CAD,323047.13,2025-08-27,2026-01-13,ACTIVE,ELECTRONICS,3,10,10,0,0,13,HIGH,0.518445,NORMAL,0.384536,0.455042,10.83,49.58,MEDIUM
TF-2026-0000046,EXPORT_LC,CUST-00305,CP-00940,CA,CN,CAD,312973.45,2026-04-11,2026-09-07,SETTLED,AUTO_PARTS,0,9,11,0,1,3,LOW,0.523942,NORMAL,0.160715,0.433727,8.29,33.56,LOW
TF-2026-0000047,GUARANTEE,CUST-00719,CP-02915,CA,US,EUR,677391.39,2025-06-10,2025-09-24,SETTLED,AGRICULTURE,3,7,13,1,1,2,MEDIUM,0.482931,NORMAL,0.653413,0.607382,11.42,48.84,MEDIUM
TF-2026-0000048,EXPORT_LC,CUST-00566,CP-00861,CA,FR,USD,69458.52,2024-12-22,2025-06-04,CLOSED,ELECTRONICS,5,4,13,1,1,6,LOW,0.557875,NORMAL,0.568913,0.798792,13.55,65.89,HIGH
TF-2026-0000049,EXPORT_LC,CUST-01093,CP-02953,CA,AE,JPY,499662.03,2026-03-08,2026-07-07,ACTIVE,CHEMICALS,2,8,3,0,0,9,LOW,0.464552,NORMAL,0.274218,0.4411,7.02,23.95,LOW
TF-2026-0000050,COLLECTION,CUST-01014,CP-02805,CA,BR,GBP,39456.33,2025-02-13,2025-05-10,SETTLED,ELECTRONICS,4,9,15,0,1,13,HIGH,0.592462,HIGH,0.480359,0.762501,14.25,75.03,HIGH
TF-2026-0000051,GUARANTEE,CUST-00550,CP-02262,CA,DE,CAD,1270447.53,2026-04-13,2026-07-26,CLOSED,AUTO_PARTS,5,6,17,1,1,14,HIGH,0.545437,NORMAL,0.592248,0.860275,14.79,76.48,HIGH
TF-2026-0000052,IMPORT_LC,CUST-00022,CP-03375,CA,GB,JPY,10545244.71,2025-08-13,2026-01-31,SETTLED,AUTO_PARTS,0,9,6,0,0,9,MEDIUM,0.619298,HIGH,0.23185,0.296973,7.85,47.15,MEDIUM
TF-2026-0000053,COLLECTION,CUST-00755,CP-00608,CA,MX,USD,180919.17,2025-04-09,2025-06-10,SETTLED,AGRICULTURE,1,6,1,0,0,12,HIGH,0.497568,NORMAL,0.132381,0.194038,4.84,27.24,LOW
TF-2026-0000054,EXPORT_LC,CUST-00932,CP-02643,CA,AE,CNY,96596.83,2025-06-26,2025-09-08,ACTIVE,INDUSTRIAL_EQUIPMENT,0,4,2,0,0,12,MEDIUM,0.560144,NORMAL,0.207953,0.270639,7.12,41.83,MEDIUM
TF-2026-0000055,IMPORT_LC,CUST-00020,CP-03243,CA,FR,CNY,673294.72,2026-04-26,2026-08-03,ACTIVE,AGRICULTURE,0,6,11,0,1,10,MEDIUM,0.499075,NORMAL,0.118613,0.450597,8.77,31.18,LOW
TF-2026-0000056,GUARANTEE,CUST-00211,CP-02096,CA,BR,USD,99039.86,2025-06-13,2025-09-30,CLOSED,AUTO_PARTS,2,7,15,0,1,9,LOW,0.502825,NORMAL,0.406639,0.535053,12.36,38.72,LOW
TF-2026-0000057,GUARANTEE,CUST-00243,CP-01477,CA,BR,USD,2681071.68,2026-05-18,2026-10-12,CLOSED,AGRICULTURE,3,8,6,1,0,6,LOW,0.519144,NORMAL,0.406191,0.425917,8.66,39.38,LOW
TF-2026-0000058,EXPORT_LC,CUST-00800,CP-01830,CA,MX,GBP,838276.64,2025-04-10,2025-06-25,SETTLED,ELECTRONICS,5,7,10,1,0,5,HIGH,0.493634,NORMAL,0.626027,0.552645,12.25,53.65,MEDIUM
TF-2026-0000059,COLLECTION,CUST-01126,CP-02037,CA,SG,USD,503889.92,2025-02-07,2025-07-20,CLOSED,AUTO_PARTS,3,4,7,0,0,3,LOW,0.48395,NORMAL,0.333195,0.358958,8.67,25.8,LOW
TF-2026-0000060,IMPORT_LC,CUST-00743,CP-02288,CA,US,USD,130706.34,2025-04-14,2025-10-10,CLOSED,CHEMICALS,2,10,7,1,0,5,HIGH,0.526471,NORMAL,0.610559,0.315928,8.72,53.63,MEDIUM
TF-2026-0000061,EXPORT_LC,CUST-00062,CP-00602,CA,US,CAD,187980.96,2025-08-03,2025-12-08,CLOSED,AUTO_PARTS,4,9,14,0,1,2,LOW,0.52146,NORMAL,0.495042,0.63139,11.72,49.82,MEDIUM
TF-2026-0000062,EXPORT_LC,CUST-00023,CP-01624,CA,DE,JPY,6033876.8,2025-06-05,2025-09-12,CLOSED,AUTO_PARTS,5,7,16,0,1,15,LOW,0.62829,HIGH,0.442334,0.801628,12.48,66.24,HIGH
TF-2026-0000063,EXPORT_LC,CUST-00804,CP-00753,CA,FR,CNY,543141.25,2025-01-17,2025-03-24,ACTIVE,AGRICULTURE,3,10,9,0,0,12,HIGH,0.507735,NORMAL,0.365248,0.512964,10.51,48.04,MEDIUM
TF-2026-0000064,IMPORT_LC,CUST-00134,CP-00868,CA,DE,CAD,218686.49,2024-12-09,2025-04-20,CLOSED,INDUSTRIAL_EQUIPMENT,1,7,13,1,1,12,MEDIUM,0.488471,NORMAL,0.253296,0.462776,10.18,33.03,LOW
TF-2026-0000065,GUARANTEE,CUST-00801,CP-02973,CA,FR,CNY,130145.03,2025-08-13,2025-12-12,SETTLED,TEXTILES,4,4,6,1,0,5,MEDIUM,0.517628,NORMAL,0.649786,0.553035,9.6,55.78,MEDIUM
TF-2026-0000066,EXPORT_LC,CUST-00289,CP-03150,CA,GB,GBP,530356.01,2026-03-01,2026-08-17,CLOSED,CHEMICALS,1,8,8,0,0,4,MEDIUM,0.479237,NORMAL,0.241692,0.234577,8.44,22.78,LOW
TF-2026-0000067,EXPORT_LC,CUST-00634,CP-02242,CA,DE,USD,440826.27,2026-05-15,2026-08-05,ACTIVE,AUTO_PARTS,2,5,14,0,1,2,HIGH,0.480685,NORMAL,0.279033,0.6016,11.69,41.98,MEDIUM
TF-2026-0000068,IMPORT_LC,CUST-00745,CP-01175,CA,AE,CNY,287549.82,2025-06-28,2025-10-06,CLOSED,AGRICULTURE,1,10,10,0,0,12,HIGH,0.523236,NORMAL,0.268919,0.180101,9.27,37.7,LOW
TF-2026-0000069,COLLECTION,CUST-00325,CP-02336,CA,GB,GBP,1004830.63,2025-06-30,2025-09-11,SETTLED,INDUSTRIAL_EQUIPMENT,5,4,11,0,1,1,LOW,0.535969,NORMAL,0.331603,0.789943,13.8,54.18,MEDIUM
TF-2026-0000070,GUARANTEE,CUST-00133,CP-01300,CA,CN,EUR,887076.98,2025-08-27,2025-11-13,SETTLED,AUTO_PARTS,3,3,15,0,1,2,MEDIUM,0.532943,NORMAL,0.398291,0.519668,10.3,51.03,MEDIUM
TF-2026-0000071,GUARANTEE,CUST-00881,CP-01940,CA,GB,CAD,141781.05,2026-01-06,2026-06-26,SETTLED,CHEMICALS,1,4,8,0,0,1,LOW,0.533056,NORMAL,0.200503,0.196093,6.9,28.81,LOW
TF-2026-0000072,GUARANTEE,CUST-00609,CP-00674,CA,US,GBP,277235.37,2026-01-21,2026-05-06,SETTLED,AUTO_PARTS,4,5,14,0,1,7,MEDIUM,0.480742,NORMAL,0.547076,0.598196,11.05,44.91,MEDIUM
TF-2026-0000073,EXPORT_LC,CUST-00664,CP-02721,CA,FR,EUR,2107790.05,2025-09-22,2026-02-10,ACTIVE,CHEMICALS,0,9,6,0,0,2,LOW,0.571632,NORMAL,0.13776,0.229167,6.04,34.67,LOW
TF-2026-0000074,EXPORT_LC,CUST-00392,CP-02784,CA,BR,EUR,1626222.48,2024-12-30,2025-06-12,CLOSED,INDUSTRIAL_EQUIPMENT,0,7,13,0,1,7,LOW,0.535268,NORMAL,0.137034,0.408766,9.56,34.87,LOW
TF-2026-0000075,EXPORT_LC,CUST-00940,CP-01755,CA,US,JPY,105168.79,2025-07-26,2025-10-30,CLOSED,AUTO_PARTS,3,9,10,0,0,12,MEDIUM,0.523232,NORMAL,0.442285,0.383207,9.89,45.0,MEDIUM
TF-2026-0000076,COLLECTION,CUST-01031,CP-02381,CA,SG,USD,3392707.1,2026-07-10,2026-10-03,ACTIVE,CHEMICALS,1,10,14,0,1,7,LOW,0.574735,NORMAL,0.203341,0.576912,10.14,49.09,MEDIUM
TF-2026-0000077,COLLECTION,CUST-00495,CP-00018,CA,GB,EUR,504847.4,2025-06-14,2025-09-06,SETTLED,TEXTILES,2,5,22,0,1,14,HIGH,0.504734,NORMAL,0.341727,0.554221,13.39,48.04,MEDIUM
TF-2026-0000078,EXPORT_LC,CUST-00896,CP-00947,CA,IN,CAD,682162.05,2026-05-03,2026-10-27,CLOSED,AGRICULTURE,5,9,11,0,1,7,MEDIUM,0.511765,NORMAL,0.346069,0.823657,11.64,54.47,MEDIUM
TF-2026-0000079,IMPORT_LC,CUST-01172,CP-01567,CA,BR,GBP,730929.18,2026-07-18,2026-11-23,ACTIVE,ELECTRONICS,5,8,16,1,1,4,LOW,0.505343,NORMAL,0.416337,0.874474,15.55,51.63,MEDIUM
TF-2026-0000080,IMPORT_LC,CUST-00291,CP-01157,CA,IN,USD,435289.69,2025-11-17,2026-03-09,ACTIVE,INDUSTRIAL_EQUIPMENT,3,4,16,0,1,10,MEDIUM,0.482322,NORMAL,0.56413,0.661337,13.26,47.92,MEDIUM
TF-2026-0000081,EXPORT_LC,CUST-00612,CP-00042,CA,SG,CAD,964992.67,2026-02-11,2026-04-12,CLOSED,ELECTRONICS,0,8,11,0,1,11,LOW,0.518362,NORMAL,0.093624,0.538942,8.62,33.78,LOW
TF-2026-0000082,GUARANTEE,CUST-00236,CP-00889,CA,CN,CNY,297107.21,2026-07-13,2026-10-06,SETTLED,INDUSTRIAL_EQUIPMENT,5,5,14,1,1,9,MEDIUM,0.496006,NORMAL,0.678509,0.783977,14.19,58.88,MEDIUM
TF-2026-0000083,GUARANTEE,CUST-00355,CP-00811,CA,CN,GBP,4015274.52,2024-09-08,2025-02-28,SETTLED,CHEMICALS,0,7,8,0,0,0,MEDIUM,0.610771,HIGH,0.31271,0.180528,8.46,45.33,MEDIUM
TF-2026-0000084,GUARANTEE,CUST-00766,CP-02592,CA,DE,JPY,193993.5,2026-06-08,2026-10-13,CLOSED,AGRICULTURE,2,9,12,0,1,3,MEDIUM,0.497319,NORMAL,0.187937,0.559166,10.69,36.6,LOW
TF-2026-0000085,GUARANTEE,CUST-00298,CP-03193,CA,GB,CAD,163009.31,2025-09-25,2026-02-03,ACTIVE,INDUSTRIAL_EQUIPMENT,5,8,15,1,1,8,LOW,0.513567,NORMAL,0.602956,0.784439,15.28,56.3,MEDIUM
TF-2026-0000086,COLLECTION,CUST-00651,CP-03332,CA,BR,EUR,437371.14,2025-09-19,2026-02-02,ACTIVE,AGRICULTURE,3,4,16,1,1,10,MEDIUM,0.482583,NORMAL,0.722086,0.616427,13.4,51.17,MEDIUM
TF-2026-0000087,COLLECTION,CUST-00583,CP-00537,CA,DE,JPY,74040.57,2025-06-26,2025-11-25,SETTLED,AGRICULTURE,0,8,6,0,0,12,HIGH,0.568478,NORMAL,0.192127,0.204183,6.55,45.14,MEDIUM
TF-2026-0000088,GUARANTEE,CUST-00931,CP-02021,CA,BR,CAD,244127.4,2024-10-25,2025-01-06,ACTIVE,AGRICULTURE,1,3,7,0,0,12,MEDIUM,0.529706,NORMAL,0.129691,0.277371,8.44,33.71,LOW
TF-2026-0000089,IMPORT_LC,CUST-00108,CP-01064,CA,DE,JPY,141299.66,2026-06-29,2026-09-13,ACTIVE,AGRICULTURE,3,7,8,0,0,11,MEDIUM,0.488527,NORMAL,0.466347,0.513192,10.15,41.19,MEDIUM
TF-2026-0000090,GUARANTEE,CUST-00660,CP-03165,CA,GB,EUR,226197.17,2025-04-05,2025-08-27,ACTIVE,AUTO_PARTS,5,4,5,1,0,10,LOW,0.52492,NORMAL,0.631117,0.611182,11.38,54.13,MEDIUM
TF-2026-0000091,EXPORT_LC,CUST-00959,CP-03353,CA,MX,USD,236149.3,2025-07-14,2025-12-29,ACTIVE,TEXTILES,4,8,13,0,1,11,HIGH,0.492388,NORMAL,0.353494,0.747088,13.63,52.01,MEDIUM
TF-2026-0000092,GUARANTEE,CUST-00867,CP-00673,CA,CN,CNY,30676.48,2024-09-09,2025-02-11,ACTIVE,INDUSTRIAL_EQUIPMENT,0,5,3,0,0,2,MEDIUM,0.60724,HIGH,0.117882,0.213465,5.83,40.5,MEDIUM
TF-2026-0000093,COLLECTION,CUST-00721,CP-01088,CA,BR,JPY,382572.78,2026-04-13,2026-07-30,CLOSED,AUTO_PARTS,3,8,14,1,1,11,HIGH,0.472792,NORMAL,0.388582,0.654883,12.14,45.78,MEDIUM
TF-2026-0000094,IMPORT_LC,CUST-00103,CP-02648,CA,DE,CAD,281849.1,2025-12-01,2026-05-01,CLOSED,CHEMICALS,2,6,11,0,1,3,HIGH,0.475818,NORMAL,0.276995,0.555718,10.73,39.43,LOW
TF-2026-0000095,GUARANTEE,CUST-00007,CP-00387,CA,JP,GBP,451118.62,2026-02-04,2026-04-13,CLOSED,ELECTRONICS,5,7,18,1,1,14,LOW,0.520682,NORMAL,0.746939,0.832604,15.48,64.2,MEDIUM
TF-2026-0000096,IMPORT_LC,CUST-00350,CP-02783,CA,IN,USD,592877.4,2026-08-03,2026-12-13,ACTIVE,AUTO_PARTS,3,4,6,1,0,13,HIGH,0.489931,NORMAL,0.609455,0.344838,9.16,44.94,MEDIUM
TF-2026-0000097,COLLECTION,CUST-01005,CP-03010,CA,IN,CAD,425801.44,2025-08-18,2025-12-17,CLOSED,INDUSTRIAL_EQUIPMENT,2,7,7,0,0,15,MEDIUM,0.519766,NORMAL,0.342555,0.395967,8.7,41.52,MEDIUM
TF-2026-0000098,EXPORT_LC,CUST-01183,CP-03036,CA,DE,CNY,1674270.26,2024-08-30,2025-01-18,SETTLED,INDUSTRIAL_EQUIPMENT,0,6,1,0,0,13,MEDIUM,0.544851,NORMAL,0.148099,0.140314,3.45,32.84,LOW
TF-2026-0000099,GUARANTEE,CUST-00634,CP-00781,CA,GB,JPY,715249.02,2026-07-01,2026-10-05,SETTLED,INDUSTRIAL_EQUIPMENT,0,9,8,0,0,11,HIGH,0.518209,NORMAL,0.181999,0.168995,7.55,33.43,LOW
TF-2026-0000100,GUARANTEE,CUST-00133,CP-03276,CA,GB,CAD,169313.46,2025-10-15,2026-03-08,SETTLED,INDUSTRIAL_EQUIPMENT,3,7,6,1,0,6,MEDIUM,0.478772,NORMAL,0.678617,0.384821,8.12,41.06,MEDIUM
TF-2026-0000101,EXPORT_LC,CUST-00885,CP-02398,CA,GB,CNY,1249228.15,2026-05-22,2026-11-15,SETTLED,AGRICULTURE,5,9,5,1,0,14,HIGH,0.559928,NORMAL,0.591833,0.619148,11.67,70.52,HIGH
TF-2026-0000102,GUARANTEE,CUST-00176,CP-01218,CA,MX,USD,1844673.16,2025-01-09,2025-05-05,CLOSED,AUTO_PARTS,3,9,16,1,1,8,LOW,0.505742,NORMAL,0.701415,0.620622,12.77,51.42,MEDIUM
TF-2026-0000103,COLLECTION,CUST-00182,CP-03096,CA,FR,USD,595693.1,2026-03-22,2026-05-27,SETTLED,CHEMICALS,4,8,16,0,1,9,HIGH,0.464201,NORMAL,0.474133,0.768235,13.95,51.38,MEDIUM
TF-2026-0000104,GUARANTEE,CUST-00200,CP-03367,CA,SG,CAD,647580.21,2025-10-19,2026-01-05,CLOSED,TEXTILES,0,3,10,0,0,6,MEDIUM,0.539257,NORMAL,0.127615,0.22092,8.45,33.96,LOW
TF-2026-0000105,IMPORT_LC,CUST-00994,CP-02555,CA,AE,CAD,463903.54,2024-09-07,2024-12-14,ACTIVE,CHEMICALS,3,3,13,1,1,5,MEDIUM,0.50765,NORMAL,0.646073,0.666254,12.66,56.81,MEDIUM
